elr,total_yards,mileage,easting,northing,longitude,latitude,os_grid_ref,linear_accuracy_m
GTW2,95040,54M 0000y,486988.5,157722.7,-0.753306,51.311979,SU8698857722,0
GTW2,95150,54M 0110y,486906.4,157780.9,-0.754469,51.312514,SU8690657780,0
GTW2,95260,54M 0220y,486824.3,157839.1,-0.755633,51.31305,SU8682457839,0
GTW2,95370,54M 0330y,486742.2,157897.3,-0.756796,51.313586,SU8674257897,0
GTW2,95480,54M 0440y,486660.1,157955.4,-0.757959,51.314121,SU8666057955,0
GTW2,95590,54M 0550y,486579.7,158016.1,-0.759098,51.314679,SU8657958016,0
GTW2,95700,54M 0660y,486504.0,158082.6,-0.760168,51.315288,SU8650358082,0
GTW2,95810,54M 0770y,486433.0,158154.1,-0.761168,51.315942,SU8643358154,0
GTW2,95920,54M 0880y,486366.9,158230.0,-0.762099,51.316634,SU8636658230,0
GTW2,96030,54M 0990y,486306.4,158310.5,-0.762947,51.317366,SU8630658310,0
GTW2,96140,54M 1100y,486251.1,158394.6,-0.76372,51.318131,SU8625158394,0
GTW2,96250,54M 1210y,486197.7,158479.9,-0.764465,51.318906,SU8619758479,0
GTW2,96360,54M 1320y,486144.6,158565.4,-0.765207,51.319683,SU8614458565,1
GTW2,96470,54M 1430y,486091.4,158651.1,-0.765949,51.320461,SU8609158651,1
GTW2,96580,54M 1540y,486038.2,158736.7,-0.766692,51.321239,SU8603858736,1
GTW2,96690,54M 1650y,485985.0,158822.4,-0.767435,51.322018,SU8598458822,1
GTW2,96800,55M 0000y,485931.8,158908.1,-0.768177,51.322796,SU8593158908,1
GTW2,96910,55M 0110y,485878.7,158993.7,-0.768919,51.323573,SU8587858993,0
GTW2,97020,55M 0220y,485825.5,159079.3,-0.769661,51.324351,SU8582559079,0
GTW2,97130,55M 0330y,485772.4,159164.9,-0.770403,51.325128,SU8577259164,0
GTW2,97240,55M 0440y,485719.2,159250.5,-0.771145,51.325906,SU8571959250,0
GTW2,97350,55M 0550y,485666.2,159335.9,-0.771885,51.326682,SU8566659335,0
GTW2,97460,55M 0660y,485613.1,159421.4,-0.772626,51.327458,SU8561359421,0
GTW2,97570,55M 0770y,485560.0,159506.9,-0.773367,51.328235,SU8556059506,0
GTW2,97680,55M 0880y,485507.0,159592.3,-0.774108,51.329011,SU8550659592,0
GTW2,97790,55M 0990y,485453.9,159677.9,-0.77485,51.329788,SU8545359677,0
GTW2,97900,55M 1100y,485400.0,159762.8,-0.775603,51.33056,SU8539959762,0
GTW2,98010,55M 1210y,485340.2,159843.8,-0.776442,51.331296,SU8534059843,0
GTW2,98120,55M 1320y,485276.5,159921.7,-0.777336,51.332006,SU8527659921,0
